DEPT,DSO8,DSOZ,DT,ECGR,HCAL,HDRA,PEF8,PEFZ,RLA1,RLA2,RLA3,RLA4,RLA5,RSO8,RSOZ,RT_HRLT,RXO8,RXOZ,TENS,TNPH
1664.208,0.0795,0.0848,92.6876,117.6131,8.7734,-0.0068,3.53,3.5292,4.774,4.8267,4.9678,5.0998,5.5201,0.0001,0.0001,5.751,4.2285,4.2707,3805.0771,0.2863
1664.0556,-0.0106,0.0585,92.8816,116.3608,8.7271,-0.0047,3.3378,3.4992,4.7762,4.8512,4.9855,5.1148,5.536,0.0001,0.0001,5.7837,4.3394,4.2933,3781.7856,0.2986
1663.9032,-0.0059,0.0265,92.8549,113.6278,8.7194,-0.0052,3.384,3.46,4.8022,4.8831,5.0227,5.1583,5.5766,0.0001,0.0001,5.8401,4.3322,4.3011,3810.8572,0.3066
1663.7508,0.0097,0.0,92.5614,116.7466,8.7271,-0.0031,3.4761,3.4361,4.7632,4.8442,4.9908,5.1298,5.5406,0.0001,0.0001,5.8137,4.2897,4.3262,3805.8574,0.2811
1663.5984,0.0225,0.046,92.4516,118.9446,8.704,-0.0049,3.4228,3.4827,4.8482,4.9286,5.0781,5.2305,5.6452,0.0001,0.0001,5.9309,4.3765,4.3588,3792.7859,0.2967
1663.446,0.0444,0.0575,92.0059,118.1711,8.7194,-0.0067,3.5027,3.5003,4.887,4.977,5.1428,5.2938,5.7121,0.0001,0.0001,6.025,4.4368,4.4043,3782.429,0.3136
1663.2936,-0.0162,0.057,91.6469,114.8695,8.7271,-0.0075,3.3131,3.4923,4.883,4.973,5.1504,5.308,5.7244,0.0001,0.0001,6.0551,4.3814,4.4129,3789.4998,0.3262
1663.1412,0.0382,0.0472,91.4044,112.8348,8.704,-0.0069,3.5214,3.4895,4.9891,5.0797,5.2692,5.4256,5.8511,0.0001,0.0001,6.1963,4.4494,4.4615,3791.2144,0.3038
1662.9888,0.049,0.0474,91.2646,116.8914,8.704,-0.0067,3.53,3.5264,5.0791,5.1706,5.3501,5.5268,5.956,0.0001,0.0001,6.3033,4.5715,4.5383,3765.2859,0.285
1662.8364,0.0395,0.0541,91.208,118.8158,8.704,-0.0065,3.5222,3.5672,5.0733,5.1774,5.3534,5.5247,5.9637,0.0001,0.0001,6.3186,4.5706,4.5701,3768.429,0.2851
1662.684,0.0651,0.0673,91.3235,123.317,8.6809,-0.0071,3.5538,3.5949,5.0396,5.1676,5.3379,5.513,5.9637,0.0001,0.0001,6.3474,4.5848,4.5954,3761.0715,0.2975
1662.5316,0.0356,0.054,91.4963,118.3176,8.6809,-0.0063,3.5375,3.5413,5.1062,5.2198,5.3942,5.564,6.0303,0.0001,0.0001,6.3987,4.6274,4.5794,3784.8569,0.2899
1662.3792,-0.014,0.0548,91.899,120.7654,8.6578,-0.0073,3.3825,3.4854,5.0182,5.1119,5.286,5.4471,5.9087,0.0001,0.0001,6.2452,4.5037,4.5179,3778.7144,0.2979
1662.2268,-0.0116,0.0274,91.639,119.7981,8.6693,-0.0053,3.2204,3.3755,4.8512,4.9464,5.1115,5.2576,5.7143,0.0001,0.0001,6.0344,4.4137,4.461,3763.1428,0.319
1662.0744,-0.0002,0.0135,91.1913,117.7481,8.6693,-0.0044,3.3249,3.3509,4.8785,4.9697,5.1265,5.2576,5.7324,0.0001,0.0001,6.0314,4.4999,4.5341,3825.9285,0.3199
1661.922,-0.0045,0.0052,90.8568,114.1061,8.6578,-0.0035,3.3314,3.3737,5.1822,5.2844,5.4462,5.5914,6.1027,0.0001,0.0001,6.431,4.7025,4.6767,3827.0,0.3027
1661.7696,0.025,0.0218,90.4019,110.9044,8.6578,-0.0047,3.4419,3.4474,5.2665,5.3742,5.5267,5.6589,6.2067,0.0001,0.0001,6.5213,4.8149,4.7933,3792.8572,0.2978
1661.6172,0.0095,0.0218,90.9117,112.6976,8.6578,-0.0039,3.4294,3.4522,5.14,5.2472,5.3928,5.5322,6.0635,0.0001,0.0001,6.3737,4.7832,4.7571,3774.7859,0.2895
1661.4648,0.0067,0.0299,91.6081,115.5145,8.6578,-0.0035,3.4174,3.465,5.0773,5.1488,5.2864,5.4234,5.9524,0.0001,0.0001,6.2139,4.6399,4.6648,3771.4287,0.297
1661.3124,-0.0066,0.0,92.0839,121.1497,8.6578,-0.0024,3.3907,3.4506,5.0415,5.0892,5.2294,5.38,5.9094,0.0001,0.0001,6.1575,4.5949,4.6265,3795.1538,0.2818
1661.16,0.0026,0.0,92.0288,122.3019,8.6578,-0.0031,3.4909,3.488,5.0562,5.072,5.206,5.362,5.8881,0.0001,0.0001,6.0997,4.6333,4.6428,3787.6431,0.3009
1661.0076,0.0105,0.0322,91.5156,119.2285,8.6578,-0.0033,3.5427,3.5254,5.1102,5.1345,5.2675,5.4408,5.963,0.0001,0.0001,6.1947,4.7144,4.7478,3789.3572,0.2921
1660.8552,0.0603,0.0654,91.0095,113.2286,8.6346,-0.0054,3.6249,3.6051,5.3141,5.3659,5.5132,5.6979,6.2399,0.0001,0.0001,6.5245,4.9091,4.8482,3793.8572,0.2954
1660.7028,0.0134,0.0654,90.4226,114.6727,8.6423,-0.0055,3.5922,3.6137,5.3408,5.4149,5.5893,5.7723,6.3094,0.0001,0.0001,6.6469,4.9396,4.9215,3776.429,0.2937
1660.5504,0.0591,0.0492,90.1199,117.3605,8.6423,-0.007,3.6065,3.626,5.3278,5.4144,5.5974,5.7773,6.2939,0.0001,0.0001,6.6504,4.9127,4.9578,3804.7144,0.2903
