DEPT,TENS,CALI,BS,GR:1,GR:2,GR:3,PEFZ,RLA5,RLA0,RLA2,RXOZ,TNPH:1,RSOZ,RLA3,TNPH:2,RT,DT,RLA1,RXO,RLA4,NPHI,GR:4,RHOZ
1164.184,2413.0,8.924,8.5,117.913,93.127,123.288,2.797,19.626,0.088,7.482,1.214,0.347,0.022,11.541,0.347,28.527,117.751,4.192,1.986,15.168,0.343,88.58,2.278
1164.336,2429.751,8.714,8.5,121.059,94.005,112.608,2.758,18.465,0.093,7.286,1.227,0.338,0.0,10.909,0.338,26.681,117.043,4.079,1.949,14.285,0.35,95.483,2.274
1164.488,2468.249,8.682,8.5,115.56,95.056,127.723,2.735,18.263,0.094,7.169,1.197,0.344,0.0,10.793,0.344,26.348,113.33,3.999,1.897,14.112,0.316,98.582,2.283
1164.641,2461.624,8.679,8.5,115.668,98.301,106.484,2.757,18.775,0.096,7.372,1.285,0.314,0.0,11.177,0.315,27.073,111.418,4.126,1.941,14.557,0.308,91.217,2.302
1164.793,2474.0,8.695,8.5,110.654,95.305,112.89,2.771,18.866,0.096,7.337,1.376,0.308,0.023,11.299,0.309,27.118,110.659,4.057,1.867,14.638,0.311,105.186,2.311
1164.946,2486.133,8.727,8.5,115.404,100.622,112.668,2.772,19.234,0.094,7.364,1.385,0.32,0.019,11.489,0.321,27.628,109.21,4.022,1.821,14.926,0.308,89.276,2.307
1165.098,2475.25,8.631,8.5,114.816,97.356,120.017,2.769,21.068,0.094,7.777,1.4,0.322,0.016,12.393,0.323,30.324,110.918,4.149,1.844,16.303,0.31,106.551,2.302
1165.25,2439.562,8.631,8.5,115.149,98.339,112.215,2.775,23.162,0.095,8.4,1.417,0.319,0.001,13.552,0.318,33.53,112.747,4.492,1.994,17.976,0.306,96.3,2.305
1165.403,2520.749,8.638,8.5,114.065,94.951,112.927,2.774,18.892,0.095,7.1,1.425,0.317,0.003,11.266,0.317,27.352,114.975,3.922,1.773,14.79,0.322,92.192,2.308
1165.555,2484.705,8.612,8.5,113.818,93.248,116.579,2.759,18.289,0.094,6.947,1.355,0.338,0.0,10.954,0.338,26.413,115.947,3.822,1.724,14.34,0.312,96.233,2.308
1165.708,2453.133,8.65,8.5,116.272,96.045,111.934,2.754,18.979,0.095,7.267,1.269,0.32,0.0,11.404,0.32,27.359,116.713,3.976,1.785,14.909,0.3,91.562,2.304
1165.86,2484.874,8.669,8.5,118.723,97.212,120.212,2.742,19.761,0.094,7.537,1.275,0.305,0.0,11.845,0.304,28.399,116.714,4.054,1.793,15.517,0.29,100.538,2.305
