DEPT,GR,T-TEMP
175.7172,70.6576,27.5591
175.8696,66.1615,27.5591
176.022,64.8678,27.5591
176.1744,64.2056,27.5591
176.3268,62.5389,27.5591
176.4792,61.0526,27.5591
176.6316,65.377,27.5591
176.784,69.3657,27.5591
176.9364,70.0,27.5591
177.0888,70.5639,27.5591
177.2412,71.3972,27.5591
177.3936,69.4566,27.5591
177.546,66.7797,27.5591
177.6984,65.0527,27.5591
177.8508,61.9408,27.5591
178.0032,60.7535,27.5591
178.1556,60.0,27.5591
178.308,60.2922,27.5591
178.4604,62.1892,27.5591
178.6128,64.0998,27.5591
178.7652,65.3421,27.5591
178.9176,64.4111,27.5591
179.07,63.9521,27.5591
179.2224,64.1976,27.5591
179.3748,64.7585,27.5591
179.5272,67.3333,27.5591
179.6796,67.3333,27.5591
179.832,68.4072,27.5591
179.9844,66.2643,27.5591
180.1368,64.9402,27.5591
180.2892,64.3333,27.5591
180.4416,64.6458,27.5591
180.594,64.3737,27.5591
180.7464,64.1928,27.5591
180.8988,64.4934,27.5591
181.0512,63.5617,27.5591
181.2036,63.0617,27.5591
181.356,62.2956,27.5591
181.5084,64.2078,27.5591
181.6608,63.25,27.5591
181.8132,63.8014,27.5591
181.9656,63.853,27.5591
182.118,62.5027,27.5591
182.2704,62.5533,27.5591
182.4228,63.5808,27.5591
182.5752,62.3201,27.5591
182.7276,62.4229,27.5591
182.88,63.4234,27.5591
183.0324,61.339,27.5591
183.1848,59.5661,27.5591
183.3372,59.9322,27.5591
183.4896,58.9174,27.5591
183.642,56.8874,27.5591
183.7944,58.406,27.5591
183.9468,61.1343,27.5591
184.0992,62.75,27.5591
184.2516,62.2222,27.5591
184.404,62.1229,27.5591
184.5564,61.5192,27.6488
184.7088,61.276,27.7421
184.8612,63.5452,27.8353
185.0136,66.1064,27.9285
185.166,67.4953,28.0217
185.3184,69.2833,28.1149
185.4708,69.6965,28.2081
185.6232,70.4,28.3013
185.7756,70.0686,28.3945
185.928,69.6923,28.4877
186.0804,70.0,28.5809
186.2328,70.1383,28.6741
